Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
Belgium,29.9788891,1161.477695,591.2295787,214.0395529,181.6511414,10.49402234,32.68232771,3.794585623,762.9601635,1428.00568,80.92700453,231.6084008,182.3056028,49.30279792,1.952506935,2131.405922,1742.493592,746.2936881
Bulgaria,353.5494311,121.382161,180.0376612,0.128288908,10.84711952,0.948033944,8.196613391,0.263971166,183.0554549,1093.478587,15.88,153.8592745,153.8592745,0,0,656.5360433,1263.217862,170.2967157
Czechia,189.3555216,57.19928954,225.8187446,228.6714531,236.1922196,0.924474122,20.55885486,0.99898101,362.1365098,2876.553264,276.9956572,386.3076044,341.1746014,45.13300308,0,914.7549185,3539.856526,384.6188198
Denmark,1.249423362,1588.366861,189.3866724,483.437597,160.1737454,21.98313074,28.0414872,0,242.72,1281.923431,2051.290711,378.1977947,263.4872963,114.7104984,0,2372.589681,3711.411937,292.7446179
Germany,1707.311508,11102.21526,5185.210662,881.6852966,3531.448291,94.02023874,445.1862372,0,2919.063705,14647.49501,2044.353683,1705.843852,1169.281735,536.5621165,230.3166732,21868.66454,18628.00922,3458.270181
Estonia,2.934972128,61.57714946,51.24677558,129.2520206,3.964660361,0.502253258,0.312702878,0,40.89274813,447.3,377.9546862,113.5404787,78.36200201,35.17847666,0,248.160622,938.7951648,41.70770427
Greece,437.3315286,941.2325437,613.9049871,4.456577816,44.52106621,0.552932614,5.726112445,0,160.7560906,1203.337394,0,462.8966711,462.8966711,0,0,2035.167658,1666.234065,167.0351356
Spain,2591.884759,5508.537633,3071.625107,396.466552,167.335968,19.69550749,120.7941201,8.537216176,1445.47,4239.669604,0,1211.206994,1188.333684,22.87331057,1.140686319,11586.82318,5452.017284,1594.496844
France,5152.976797,3577.266485,1688.92313,401.9209802,553.6086813,30.12026439,175.7837345,24.96675516,3100.167482,9076.340452,1950.584348,4103.914925,3810.745873,293.1690519,164.8295347,11143.82532,15295.66926,3331.038236
Croatia,586.470121,194.6762299,13.06104901,61.8744626,41.43594153,0.564540429,11.19826098,1.591818916,21,1067.569528,105.7991784,14.12056941,14.12056941,0,0,884.1631837,1187.489276,34.35462032
Ireland,65.65502488,958.8026309,12.75116079,1.852498877,31.66109148,5.320970818,1.637404174,1.40532E-05,230.5767564,177.7089582,0,100.3348716,99.30788104,1.026990542,0,1063.764018,278.0438298,237.5351455
Italy,4135.312795,1808.462117,2418.01006,374.7064488,1633.364753,19.62127204,182.5821311,92.76661801,1572.968137,7199.809955,373.30415,2744.171325,2726.64083,17.53049569,308.3232928,10074.88615,10625.60872,1867.938158
Cyprus,0,20.11328311,51.7505589,0,4.973344798,0,0,0,24.88,152.1645409,0.95899016,48.60178995,47.80965753,0.792132416,35.87146711,76.8371868,237.5967882,24.88
Latvia,248.7732248,13.75567942,3.549097163,47.43920894,21.46431642,1.575014719,2.964852341,0.105527087,15.754,1008.837059,424.4549537,0,0,0,0,330.3361326,1433.292013,20.39739415
Lithuania,37.52982236,163.2691316,29.40670679,33.86070507,27.03353396,1.007414882,0.221943382,0.362391928,119.6,623.4088086,579.6789911,63.30953235,49.50460608,13.80492627,0,289.5081496,1266.397332,121.1917502
Luxembourg,8.505413021,28.4428785,23.75477214,23.07351677,7.828813065,0.568431908,1.68094067,0,127.6984712,43.1975782,102.9862169,5.203610722,2.34426193,2.859348792,0,89.35602092,151.3874058,129.9478438
Hungary,20.56454311,55.95791281,406.8787618,125.7953568,23.04385211,1.249139518,12.030647,0.102388485,302.9,1688.996685,172.9890131,77.29515005,73.15865005,4.136500002,0,618.8582517,1939.280848,315.5515246
Malta,0,0.004987102,24.89355116,0,0.635339639,0.084177098,0,0,12.60700146,5.825471824,0,18.61523802,18.61523802,0,27.18165786,25.4497008,51.6223677,12.69117856
Netherlands,7.445223583,1839.550727,1468.511006,493.423005,225.3010159,37.98241965,39.18859459,0,613.8697812,1067.762239,410.9006011,489.6274985,346.691465,142.9360335,0,3957.059963,1968.290339,691.0407955
Austria,3642.297012,633.3034358,326.027859,70.48190218,41.61219516,18.2404704,125.1016564,83.16124562,403.1587215,3317.663698,308.6954668,478.0325094,478.0325094,0,0,4487.219031,4104.391674,629.6620939
Poland,199.0942781,1628.076083,714.5030095,510.2405847,145.9231298,2.310689448,46.39192949,0.194865649,1203.420727,7326.742102,557.4884876,519.666316,348.5351258,171.1311901,0,3148.9396,8403.896906,1200.609913
Portugal,1083.918343,1167.385775,302.5824592,304.7227859,65.64961307,2.013563824,22.57859984,0.286981175,341.109,1986.901055,0,850.3102131,850.3102131,0,0,2899.379832,2837.211268,365.9881448
Romania,1355.621957,576.3422048,170.9732588,12.78589854,2.22699914,8.291207848,37.59919265,0.902160203,558.68,3383.310853,82.25728958,0,0,0,0,2071.157758,3465.568143,559.5569884
Slovenia,392.0147375,0.514569641,55.51049011,13.96208083,9.208512468,0.784574741,7.300347262,0.203295386,78.56243432,479.547387,50.6501863,59.96833314,59.96833314,0,0,462.9221732,590.1659065,86.85065171
Slovakia,366.2195816,0.45255012,55.88993981,90.1977644,37.91917455,0.476039135,9.937316938,2.816564881,168.67,980.6769657,157.1921467,86.30008598,86.30008598,0,0,537.4490895,1224.169198,181.899921
