Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
Belgium,0.00400558,0.155188927,0.078996165,0.028598542,0.024271018,0.001238368,0.003856743,0.000447788,0.090034639,0.085586763,0.004850317,0.013881327,0.01092639,0.002954937,0.000117022,0.063124545,0.051606366,0.022102523
Bulgaria,0.107428124,0.036882701,0.054705528,3.89814E-05,0.003295963,0.000312961,0.002705829,8.7141E-05,0.060429443,0.274128512,0.003981021,0.038571596,0.038571596,0,0,0.060838146,0.117056532,0.015780606
Czechia,0.031312632,0.009458717,0.037342346,0.037814082,0.039057747,0.000134926,0.00300054,0.0001458,0.052853392,0.209674276,0.020190436,0.028158271,0.024868491,0.003289781,0,0.034900064,0.135053901,0.014674118
Denmark,0.00039825,0.506287781,0.060366506,0.154094469,0.051054962,0.005579009,0.007116534,0,0.061598917,0.173080183,0.276957082,0.051062756,0.035575003,0.015487753,0,0.163041944,0.255044444,0.020117112
Germany,0.036295962,0.23602347,0.110233083,0.018743865,0.075075529,0.001844479,0.008733615,0,0.05726587,0.137485072,0.019188818,0.016011479,0.010975172,0.005036307,0.00216181,0.10441127,0.08893886,0.016511405
Estonia,0.003431267,0.071989658,0.059912449,0.151108144,0.004635072,0.000572425,0.000356392,0,0.046606011,0.31180822,0.263468316,0.079147897,0.054625344,0.024522554,0,0.080568074,0.304790169,0.013540865
Greece,0.090849615,0.195528126,0.127530325,0.000925793,0.00924864,0.000109304,0.001131943,0,0.031778413,0.221090687,0,0.085048585,0.085048585,0,0,0.120372682,0.098551617,0.009879514
Spain,0.112417338,0.238920782,0.133225027,0.01719587,0.007257832,0.000661071,0.0040544,0.000286548,0.048516545,0.155839982,0,0.044521034,0.043680267,0.000840767,4.19289E-05,0.138026563,0.064946465,0.018994242
France,0.123779321,0.085929286,0.040569513,0.009654518,0.013298198,0.00070441,0.004110981,0.000583887,0.072502327,0.156188269,0.033566215,0.070621345,0.065576408,0.005044937,0.002836434,0.078102184,0.107200637,0.023345786
Croatia,0.362775314,0.120421702,0.008079229,0.038273949,0.025631206,0.000264839,0.00525336,0.000746759,0.00985158,0.334545145,0.033154376,0.004424975,0.004424975,0,0,0.123480482,0.165842404,0.004797898
Ireland,0.022550299,0.329316546,0.004379596,0.000636271,0.010874523,0.001306684,0.000402101,3.45108E-09,0.056623309,0.040277032,0,0.022740501,0.022507738,0.000232763,0,0.087144484,0.022777595,0.019459088
Italy,0.147955546,0.064704174,0.086512923,0.013406458,0.058439442,0.000565382,0.005261057,0.002673046,0.045324675,0.13935485,0.007225433,0.0531144,0.052775091,0.000339309,0.005967706,0.087671502,0.092463881,0.016254769
Cyprus,0,0.044404052,0.114249598,0,0.010979643,0,0,0,0.037393589,0.266162999,0.001677445,0.085013224,0.083627643,0.001385581,0.062745612,0.041533853,0.128431435,0.013448726
Latvia,0.39586622,0.021889047,0.005647584,0.075488752,0.034155596,0.001575091,0.002964996,0.000105532,0.015754764,0.429261458,0.180606125,0,0,0,0,0.080205457,0.348002625,0.004952478
Lithuania,0.034114287,0.148410242,0.026730445,0.030779091,0.024573251,0.000506409,0.000111567,0.000182168,0.060120785,0.253717697,0.23592034,0.025765996,0.020147605,0.00561839,0,0.05167298,0.226033446,0.021630959
Luxembourg,0.014796067,0.049479401,0.041323943,0.040138827,0.01361905,0.000351434,0.001039244,0,0.078949774,0.043975604,0.104841088,0.005297332,0.002386484,0.002910848,0,0.024063692,0.040768825,0.034995123
Hungary,0.004990232,0.013578855,0.098733985,0.030525744,0.005591866,0.000232102,0.002235406,1.90247E-05,0.05628163,0.177214712,0.018150538,0.008110044,0.00767603,0.000434014,0,0.032845991,0.102927612,0.016747943
Malta,0,1.97766E-05,0.098716837,0,0.002519477,0.00034484,0,0,0.051645903,0.042859327,0,0.136956557,0.136956557,0,0.199981664,0.035393545,0.071792536,0.017649944
Netherlands,0.000736646,0.182008945,0.145297509,0.04882029,0.022291747,0.004058147,0.004187018,0,0.065587544,0.046591981,0.017929715,0.021364976,0.015127939,0.006237037,0,0.089645504,0.044590777,0.015655234
Austria,0.576973234,0.100321069,0.051645801,0.011164979,0.006591753,0.002417853,0.016582764,0.011023382,0.053440427,0.247174233,0.022998583,0.035614616,0.035614616,0,0,0.167196218,0.152931863,0.023461552
Poland,0.013080202,0.106962213,0.046941801,0.033522059,0.009586936,0.00010607,0.002129569,8.94509E-06,0.055241672,0.198168532,0.015078554,0.014055567,0.009426931,0.004628635,0,0.041963882,0.111993301,0.015999752
Portugal,0.225954896,0.243354616,0.063076696,0.063522871,0.013685396,0.000347283,0.003894172,4.94962E-05,0.058831693,0.318952446,0,0.136498253,0.136498253,0,0,0.168906908,0.165285203,0.021321086
Romania,0.27987065,0.11898691,0.035297744,0.002639672,0.000459768,0.001131874,0.005132851,0.000123158,0.076268161,0.256276777,0.00623077,0,0,0,0,0.082012114,0.137226905,0.022156908
Slovenia,0.307857424,0.000404102,0.043593556,0.010964716,0.007231639,0.00038469,0.003579479,9.9679E-05,0.038520437,0.276179665,0.029170322,0.034536804,0.034536804,0,0,0.094284054,0.120199976,0.017689003
Slovakia,0.152302297,0.000188205,0.02324334,0.037511175,0.015769712,0.000178551,0.003727248,0.001056426,0.063264058,0.159594163,0.025581257,0.01404437,0.01404437,0,0,0.048775725,0.111098412,0.016508169
Finland,0.173590944,0.152413194,0.004632903,0.138460867,0.010156582,0.003555603,0.006126987,0,0.142648039,0.373323137,0.16065577,0.048579664,0.032469457,0.016110207,0.00290658,0.143342953,0.325005504,0.024196673
Sweden,0.483970299,0.242073949,0.014164813,0.080406275,0.012781684,0.009772429,0.022983785,0.002695842,0.2261251,0.379298705,0.208744851,0.102894637,0.037481467,0.065413169,0.002986413,0.299145545,0.335173576,0.059455173
Iceland,0.697612665,0.000285205,0,0,0.294033358,0.015243033,0,0,0.070276213,0.071742382,0.763805123,0,0,0,0,0.494903557,0.274626135,0.008501202
Norway,1.093718063,0.103539769,0.001298926,0,0.001540172,0.040062907,0.014942558,0.003322347,0.081032813,0.174284534,0.040164956,0.126935817,0.067700428,0.059235389,0,0.668646992,0.083358113,0.029693157
