Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belgium,11180840,11237274,11311117,11351727,11398589,11455519,11522440,11554767,11617623,11742796
Bulgaria,7245677,7202198,7153784,7101859,7050034,7000039,6951482,6916548,6838937,6447710
Czechia,10512419,10538275,10553843,10578820,10610055,10649800,10693939,10494836,10516707,10827529
Denmark,5627235,5659715,5707251,5748769,5781190,5806081,5822763,5840045,5873420,5932654
Germany,80767463,81197537,82175684,82521653,82792351,83019213,83166711,83155031,83237124,84358845
Estonia,1315819,1314870,1315944,1315635,1319133,1324820,1328976,1330068,1331796,1365884
Greece,10926807,10858018,10783748,10768193,10741165,10724599,10718565,10678632,10459782,10413982
Spain,46512199,46449565,46440099,46528024,46658447,46937060,47332614,47398695,47432893,48085361
France,66165980,66458153,66638391,66809816,67026224,67177636,67320216,67656682,67871925,68172977
Croatia,4246809,4225316,4190669,4154213,4105493,4076246,4058165,4036355,3862305,3850894
Ireland,4637852,4677627,4726286,4784383,4830392,4904240,4964440,5006324,5060004,5271395
Italy,60782668,60795612,60665551,60589445,60483973,59816673,59641488,59236213,59030133,58997201
Cyprus,858000,847008,848319,854802,864236,875899,888005,896007,904705,920701
Latvia,2001468,1986096,1968957,1950116,1934379,1919968,1907675,1893223,1875757,1883008
Lithuania,2943472,2921262,2888558,2847904,2808901,2794184,2794090,2795680,2805998,2857279
Luxembourg,549680,562958,576249,590667,602005,613894,626108,634730,645397,660809
Hungary,9877365,9855571,9830485,9797561,9778371,9772756,9769526,9730772,9689010,9599744
Malta,429424,439691,450415,460297,475701,493559,514564,516100,520971,542051
Netherlands,16829289,16900726,16979120,17081507,17181084,17282163,17407585,17475415,17590672,17811291
Austria,8507786,8584926,8700471,8772865,8822267,8858775,8901064,8932664,8978929,9104772
Poland,38017856,38005614,37967209,37972964,37976687,37972812,37958138,37073357,36889761,36753736
Portugal,10427301,10374822,10341330,10309573,10291027,10276617,10295909,10298252,10352042,10467366
Romania,19947311,19870647,19760585,19643949,19533481,19414458,19328838,19201662,19042455,19054548
Slovenia,2061085,2062874,2064188,2065895,2066880,2080908,2095861,2108977,2107180,2116972
Slovakia,5415949,5421349,5426252,5435343,5443120,5450421,5457873,5459781,5434712,5428792
Finland,5451270,5471753,5487308,5503297,5513130,5517919,5525292,5533793,5548241,5563970
Sweden,9644864,9747355,9851017,9995153,10120242,10230185,10327589,10379295,10452326,10521556
Iceland,325671,329100,332529,338349,348450,356991,364134,368792,376248,387758
Norway,5109056,5165802,5213985,5258317,5295619,5328212,5367580,5391369,5425270,5488984
