Country,TOPSIS score,TOPSIS rank,VIKOR S,VIKOR R,VIKOR Q,VIKOR rank,Absolute rank difference
NO,0.4530469694035684,1,0.5631498687515166,0.05555555555555555,0.6121030814325303,3,2
SE,0.43404401058469827,2,0.46430980238490716,0.05472592032793122,0.0,1,1
IS,0.40342226108253953,3,0.7249048792937455,0.05555555555555556,0.7955634511542387,10,7
AT,0.3393499826640968,4,0.7109085856968241,0.05555555555555555,0.7796890421364419,9,5
MT,0.33132943506532603,5,0.7612028905839111,0.05555555555555556,0.8367321701270453,11,6
DK,0.3059491402769603,6,0.6633464112003973,0.05555555555555555,0.7257446598967048,5,1
FI,0.2671972687925134,7,0.6788372225818339,0.05555555555555555,0.7433141309987181,6,1
PT,0.261885979195761,8,0.6854096831137988,0.05555555555555555,0.7507685278370826,7,1
EE,0.25598634399923836,9,0.7076884865398344,0.05555555555555555,0.7760368487366729,8,1
CY,0.20359648102082,10,0.7946336186804052,0.05555555555555556,0.8746488548472839,13,3
