Country,robust_rank_TOPSIS,ER_TOPSIS,WWR_TOPSIS,WCR_TOPSIS,RV_TOPSIS,robust_rank_VIKOR,ER_VIKOR,WWR_VIKOR,WCR_VIKOR,RV_VIKOR,Absolute rank difference
SE,1,2.2168,0.3006,12,1.1230538767138616,1,1.747,0.6,17,1.5865353506568418,0
NO,2,2.4466,0.3508,26,1.8775125700485398,2,4.4966,0.1688,27,4.446835201428301,0
IS,3,4.4886,0.154,29,3.8296218143111718,8,11.8184,0.0668,29,8.78048067067868,5
AT,4,5.6588,0.1044,22,3.692195691157818,6,6.6184,0.0434,21,3.6509515649301227,2
DK,5,5.8784,0.0274,22,2.6107808554788736,3,4.852,0.0518,22,2.9279020683937476,2
FI,6,6.6936,0.0008,23,2.919216231230719,4,5.7386,0.0018,26,4.18174215291747,2
PT,7,8.3376,0.0042,19,2.9370991727059717,5,6.5654,0.0166,20,2.6719937780896976,2
EE,8,9.7456,0.0012,29,4.618652079276604,7,10.17,0.0042,26,5.070605704296233,1
MT,9,10.6374,0.0548,29,7.259783890201314,19,18.11,0.0314,29,7.475097017101698,10
LV,10,13.0656,0.0,29,6.608088226257314,15,16.5956,0.0,29,8.274113416588088,5
