model,Country,TOPSIS_score,TOPSIS_rank,VIKOR_Q,VIKOR_rank
Full 18-criterion model,BE,0.1510183831374089,22,0.8759368168895242,20
Full 18-criterion model,BG,0.12476328499180363,25,0.882594135802732,22
Full 18-criterion model,CZ,0.12153257098328712,27,0.9372187740684708,25
Full 18-criterion model,DK,0.30049365198069095,5,0.4893743272628885,3
Full 18-criterion model,DE,0.18953720413332698,11,0.7546915206678098,10
Full 18-criterion model,EE,0.24441535068866488,8,0.699683520496182,7
Full 18-criterion model,GR,0.1731713147015584,16,0.7931027268602395,12
Full 18-criterion model,ES,0.17917135597377795,12,0.746061690320635,9
Full 18-criterion model,FR,0.16046672292776962,18,0.8102142900722566,13
Full 18-criterion model,HR,0.15409720647173,21,0.9419890315083675,26
Full 18-criterion model,IE,0.14097109341313732,23,1.0,29
Full 18-criterion model,IT,0.1765673996441525,13,0.7901178506735247,11
Full 18-criterion model,CY,0.17351421822273239,15,0.8747733307151009,19
Full 18-criterion model,LV,0.21525749582006057,10,0.8797329147887154,21
Full 18-criterion model,LT,0.17486103142401674,14,0.8506837534005169,17
Full 18-criterion model,LU,0.15680803884140107,19,0.9773196581567982,28
Full 18-criterion model,HU,0.12367153344723635,26,0.9532106978400385,27
Full 18-criterion model,MT,0.2693786799653336,7,0.8642806604740727,18
Full 18-criterion model,NL,0.1726847431751385,17,0.8456920712472478,16
Full 18-criterion model,AT,0.376023882950488,4,0.5146187970602142,4
Full 18-criterion model,PL,0.11379386985372768,29,0.9344064358828629,24
Full 18-criterion model,PT,0.24187161023863996,9,0.5224393226174571,5
Full 18-criterion model,RO,0.15566448590534712,20,0.828263333568146,15
Full 18-criterion model,SI,0.13553326763406306,24,0.811582852266154,14
Full 18-criterion model,SK,0.12096655746812307,28,0.9229966998569304,23
Full 18-criterion model,FI,0.2831952482966002,6,0.5302986694250402,6
Full 18-criterion model,SE,0.46808232980574044,2,0.0,1
Full 18-criterion model,IS,0.4060113366632915,3,0.7055051515642192,8
Full 18-criterion model,NO,0.4987178385446093,1,0.4011722539763569,2
No-C15 17-criterion model,BE,0.15299098303231398,22,0.8783063467153761,20
No-C15 17-criterion model,BG,0.1330870283497815,25,0.8778616699762996,19
No-C15 17-criterion model,CZ,0.12682305164568491,26,0.9344369326381737,25
No-C15 17-criterion model,DK,0.3124361948508569,5,0.4909034854344373,3
No-C15 17-criterion model,DE,0.19239315755227632,11,0.7579501636189738,10
No-C15 17-criterion model,EE,0.260797903100743,8,0.6914420223971771,7
No-C15 17-criterion model,GR,0.18665774418405395,12,0.7860270451980296,11
No-C15 17-criterion model,ES,0.18465951952438453,14,0.7455641992626019,9
No-C15 17-criterion model,FR,0.17141964282917815,18,0.8059301205866644,13
No-C15 17-criterion model,HR,0.16019103672171256,19,0.9402056312634736,26
No-C15 17-criterion model,IE,0.14324164029859499,23,1.0,29
No-C15 17-criterion model,IT,0.1832386709754246,15,0.7897686929629963,12
No-C15 17-criterion model,CY,0.17213214609369498,17,0.8797176989037276,21
No-C15 17-criterion model,LV,0.22396394626973054,9,0.8775551383927866,18
No-C15 17-criterion model,LT,0.18486901562810454,13,0.8473044119811594,16
No-C15 17-criterion model,LU,0.15950029908685623,20,0.9791165761176561,28
No-C15 17-criterion model,HU,0.12624283481075108,27,0.9532628727448795,27
No-C15 17-criterion model,MT,0.2058605309050552,10,0.8978968836648595,22
No-C15 17-criterion model,NL,0.17543334002977315,16,0.8486528302761811,17
No-C15 17-criterion model,AT,0.38207030589419144,4,0.5187779383902267,5
No-C15 17-criterion model,PL,0.11755460425878873,29,0.9331166889852692,24
No-C15 17-criterion model,PT,0.26326691982292794,7,0.5122782068705547,4
No-C15 17-criterion model,RO,0.15940658923095133,21,0.8294091338714719,15
No-C15 17-criterion model,SI,0.14310035296935866,24,0.8074938945026302,14
No-C15 17-criterion model,SK,0.12383832644669855,28,0.9226988464980592,23
No-C15 17-criterion model,FI,0.2940831836416548,6,0.529400840369873,6
No-C15 17-criterion model,SE,0.4926313680685536,2,0.0,1
No-C15 17-criterion model,IS,0.423344074142019,3,0.7092323859945708,8
No-C15 17-criterion model,NO,0.5193807440284155,1,0.39869034050959806,2
