Layer,Scenario,v,Leader,Reference leader (v=0.5),Leader changed,Top-5 overlap,Top-10 overlap,Spearman rho,Kendall tau,Mean absolute displacement,Maximum absolute displacement
Deterministic,S0_Balanced,0.3,SE,SE,0,5,10,0.9857142857142855,0.9261083743842363,0.9655172413793104,3
Deterministic,S0_Balanced,0.7,SE,SE,0,4,10,0.9748768472906402,0.8965517241379308,1.3103448275862069,5
Deterministic,S1_ElectricityPriority,0.3,IT,SE,1,5,8,0.9645320197044334,0.8472906403940885,1.8620689655172413,6
Deterministic,S1_ElectricityPriority,0.7,SE,SE,0,3,8,0.9330049261083742,0.8029556650246304,2.206896551724138,7
Deterministic,S2_TransportPriority,0.3,NO,SE,1,5,8,0.9788177339901475,0.8965517241379308,1.3103448275862069,4
Deterministic,S2_TransportPriority,0.7,SE,SE,0,5,10,0.9955665024630541,0.9704433497536944,0.3448275862068966,3
Deterministic,S3_HeatingCoolingPriority,0.3,SE,SE,0,4,10,0.9916256157635467,0.9605911330049259,0.5517241379310345,4
Deterministic,S3_HeatingCoolingPriority,0.7,SE,SE,0,4,8,0.9788177339901475,0.9261083743842363,1.0344827586206897,6
Deterministic,S4_FinalConsumptionPriority,0.3,SE,SE,0,4,10,0.9871921182266008,0.9261083743842363,0.9655172413793104,4
Deterministic,S4_FinalConsumptionPriority,0.7,SE,SE,0,5,10,0.9655172413793103,0.8620689655172412,1.3793103448275863,6
Branching-world,S0_Balanced,0.3,SE,SE,0,4,9,0.9802955665024627,0.9064039408866994,1.103448275862069,4
Branching-world,S0_Balanced,0.7,SE,SE,0,4,9,0.9817733990147782,0.921182266009852,0.9655172413793104,4
Branching-world,S1_ElectricityPriority,0.3,SE,SE,0,4,9,0.976847290640394,0.8965517241379308,1.3793103448275863,5
Branching-world,S1_ElectricityPriority,0.7,SE,SE,0,5,10,0.9891625615763545,0.9310344827586206,0.896551724137931,3
Branching-world,S2_TransportPriority,0.3,SE,SE,0,5,10,0.9788177339901475,0.8916256157635467,1.2413793103448276,4
Branching-world,S2_TransportPriority,0.7,SE,SE,0,5,9,0.9891625615763545,0.9408866995073891,0.6896551724137931,3
Branching-world,S3_HeatingCoolingPriority,0.3,SE,SE,0,5,9,0.9778325123152708,0.9064039408866994,1.103448275862069,5
Branching-world,S3_HeatingCoolingPriority,0.7,SE,SE,0,5,9,0.9906403940886698,0.9408866995073891,0.8275862068965517,3
Branching-world,S4_FinalConsumptionPriority,0.3,SE,SE,0,5,10,0.987684729064039,0.9310344827586206,0.9655172413793104,3
Branching-world,S4_FinalConsumptionPriority,0.7,SE,SE,0,5,10,0.9881773399014776,0.9310344827586206,0.896551724137931,4
