,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
C1,1.0,-0.15464308107686917,-0.5243783930981292,-0.17605505099105925,0.2920585115461908,0.8031106547016497,0.5806153094862128,0.508696776850639,0.196193690504337,0.23324119938916033,0.32042317824006344,0.17655199417181916,-0.023749060862773508,0.5050952335990612,-0.18021046399360663,0.8735167322062302,0.26711651132936015,0.20358950536726045
C2,-0.15464308107686917,1.0,0.12356435633298037,0.3788839802315466,-0.09477993199881882,0.043235941158148876,0.2758458593395794,-0.04332386329650817,0.2232982090289024,-0.049729017636564725,-0.007520342909742696,0.1388658740704903,0.056793113012056036,0.226770158702451,-0.2351337407269922,0.09967567204146965,0.05288611367925389,0.2580108660805805
C3,-0.5243783930981292,0.12356435633298037,1.0,-0.16995198689680222,-0.19167107925804774,-0.3425049982878752,-0.20984844274062855,-0.12224338503203003,-0.2686758296578258,-0.3343423091551032,-0.4050700042541291,0.16802248579456133,0.3235618040808917,-0.3013649601729747,0.26448193454511093,-0.3691799412352811,-0.4771150066197345,-0.19930036983145755
C4,-0.17605505099105925,0.3788839802315466,-0.16995198689680222,1.0,-0.09228271647495898,-0.07291511273316141,0.12598786443538218,-0.1432688436837609,0.2846816572873077,0.4201444732662822,0.3098445734373498,0.06721769359473789,-0.06765643480819952,0.32472522318748875,-0.2000172073833059,-0.06166347104913064,0.6725017279748253,0.14067754245056377
C5,0.2920585115461908,-0.09477993199881882,-0.19167107925804774,-0.09228271647495898,1.0,0.23776934287029133,-0.1397980946617062,-0.09722887271077256,-0.01958276474560588,-0.2598138493324444,0.8119640537019757,-0.2823292068704261,-0.26445585529796306,-0.12444883958673571,-0.1025231508348004,0.437145581092618,0.2669392169062219,-0.2557289990164782
C6,0.8031106547016497,0.043235941158148876,-0.3425049982878752,-0.07291511273316141,0.23776934287029133,1.0,0.4771484612663624,0.24030650331750023,0.2873646442481445,-0.0764480921015749,0.2964108534230027,0.3192651890332488,0.04910910660535402,0.7054085110452814,-0.0933532189126358,0.9317915068363013,0.08946069512978891,0.2893206232984308
C7,0.5806153094862128,0.2758458593395794,-0.20984844274062855,0.12598786443538218,-0.1397980946617062,0.4771484612663624,1.0,0.6680518971848979,0.6129090135394897,0.2905206486094343,-0.050599391145706676,0.2538734663855674,-0.02720782933414722,0.7106192542831826,-0.20382502603822839,0.4996447443767252,0.22964687697715871,0.6777635593385488
C8,0.508696776850639,-0.04332386329650817,-0.12224338503203003,-0.1432688436837609,-0.09722887271077256,0.24030650331750023,0.6680518971848979,1.0,0.11898942919536516,0.10146123126255058,-0.09729020185446395,0.10835250351944509,0.031988883361799565,0.2047860219644772,-0.08736630794823864,0.28345449390719724,0.01982562687633474,0.2776099544793025
C9,0.196193690504337,0.2232982090289024,-0.2686758296578258,0.2846816572873077,-0.01958276474560588,0.2873646442481445,0.6129090135394897,0.11898942919536516,1.0,0.13031004655132666,0.2014128424139465,0.22427992950574605,-0.051615625352833344,0.6900914836382183,-0.08554484876245866,0.3089132989405355,0.3246468110320797,0.8682695808277281
C10,0.23324119938916033,-0.049729017636564725,-0.3343423091551032,0.4201444732662822,-0.2598138493324444,-0.0764480921015749,0.2905206486094343,0.10146123126255058,0.13031004655132666,1.0,0.028657607948071633,0.1301603591195083,0.03746195709925962,0.248183545069049,-0.24445469414697377,0.004943610841521316,0.7131740742100674,0.04492234364874862
