scenario,method,rank,CountryCode,score
S0_Balanced,TOPSIS,1,NO,0.4987178385420484
S0_Balanced,TOPSIS,2,SE,0.4680823298032191
S0_Balanced,TOPSIS,3,IS,0.40601133666118877
S0_Balanced,TOPSIS,4,AT,0.3760238829484702
S0_Balanced,TOPSIS,5,DK,0.3004936519789701
S0_Balanced,TOPSIS,6,FI,0.2831952482949793
S0_Balanced,TOPSIS,7,MT,0.269378679963915
S0_Balanced,TOPSIS,8,EE,0.24441535068729414
S0_Balanced,TOPSIS,9,PT,0.24187161023724119
S0_Balanced,TOPSIS,10,LV,0.2152574958188365
S1_ElectricityPriority,TOPSIS,1,IS,0.458801756191449
S1_ElectricityPriority,TOPSIS,2,NO,0.44225228887658613
S1_ElectricityPriority,TOPSIS,3,SE,0.41489502846310994
S1_ElectricityPriority,TOPSIS,4,DK,0.362914899521187
S1_ElectricityPriority,TOPSIS,5,AT,0.33508267419652077
S1_ElectricityPriority,TOPSIS,6,FI,0.28863170966382995
S1_ElectricityPriority,TOPSIS,7,EE,0.26807644684362103
S1_ElectricityPriority,TOPSIS,8,PT,0.2509695237821179
S1_ElectricityPriority,TOPSIS,9,DE,0.2376747361221408
S1_ElectricityPriority,TOPSIS,10,MT,0.2361540366737523
S2_TransportPriority,TOPSIS,1,NO,0.5371359346864525
S2_TransportPriority,TOPSIS,2,SE,0.471963935688427
S2_TransportPriority,TOPSIS,3,AT,0.4548607026401657
S2_TransportPriority,TOPSIS,4,IS,0.32864848997766916
S2_TransportPriority,TOPSIS,5,FI,0.2527547548793273
S2_TransportPriority,TOPSIS,6,DK,0.24038550023893557
S2_TransportPriority,TOPSIS,7,MT,0.19884562721344182
S2_TransportPriority,TOPSIS,8,PT,0.18295171600699567
S2_TransportPriority,TOPSIS,9,EE,0.17684800591379196
S2_TransportPriority,TOPSIS,10,IT,0.17591971137609297
S3_HeatingCoolingPriority,TOPSIS,1,NO,0.4567296832162972
S3_HeatingCoolingPriority,TOPSIS,2,SE,0.44983032526918915
S3_HeatingCoolingPriority,TOPSIS,3,IS,0.39159380245704667
S3_HeatingCoolingPriority,TOPSIS,4,MT,0.3788968885815308
S3_HeatingCoolingPriority,TOPSIS,5,AT,0.3125832248639799
S3_HeatingCoolingPriority,TOPSIS,6,DK,0.2804608453458482
S3_HeatingCoolingPriority,TOPSIS,7,PT,0.2789955250739449
S3_HeatingCoolingPriority,TOPSIS,8,FI,0.26708008855637444
S3_HeatingCoolingPriority,TOPSIS,9,EE,0.2656652305738496
S3_HeatingCoolingPriority,TOPSIS,10,CY,0.22351862841740477
S4_FinalConsumptionPriority,TOPSIS,1,NO,0.5512557991438191
S4_FinalConsumptionPriority,TOPSIS,2,SE,0.5302282666976164
S4_FinalConsumptionPriority,TOPSIS,3,IS,0.4522955547029213
S4_FinalConsumptionPriority,TOPSIS,4,AT,0.3503774753429628
S4_FinalConsumptionPriority,TOPSIS,5,FI,0.3269036762814939
S4_FinalConsumptionPriority,TOPSIS,6,DK,0.3146294332613241
S4_FinalConsumptionPriority,TOPSIS,7,EE,0.2717904966924292
S4_FinalConsumptionPriority,TOPSIS,8,LV,0.2654763089221588
S4_FinalConsumptionPriority,TOPSIS,9,PT,0.2585544339737305
S4_FinalConsumptionPriority,TOPSIS,10,MT,0.2325594503362587
