Country,robust_rank_TOPSIS,ER_TOPSIS,WWR_TOPSIS,WCR_TOPSIS,RV_TOPSIS,robust_rank_VIKOR,ER_VIKOR,WWR_VIKOR,WCR_VIKOR,RV_VIKOR,Absolute rank difference
SE,1,2.2168,0.3006,12,1.1230538767138616,1,1.747,0.6,17,1.5865353506568418,0
NO,2,2.4466,0.3508,26,1.8775125700485398,2,4.4966,0.1688,27,4.446835201428301,0
IS,3,4.4886,0.154,29,3.8296218143111718,8,11.8184,0.0668,29,8.78048067067868,5
AT,4,5.6588,0.1044,22,3.692195691157818,6,6.6184,0.0434,21,3.6509515649301227,2
DK,5,5.8784,0.0274,22,2.6107808554788736,3,4.852,0.0518,22,2.9279020683937476,2
FI,6,6.6936,0.0008,23,2.919216231230719,4,5.7386,0.0018,26,4.18174215291747,2
PT,7,8.3376,0.0042,19,2.9370991727059717,5,6.5654,0.0166,20,2.6719937780896976,2
EE,8,9.7456,0.0012,29,4.618652079276604,7,10.17,0.0042,26,5.070605704296233,1
MT,9,10.6374,0.0548,29,7.259783890201314,19,18.11,0.0314,29,7.475097017101698,10
LV,10,13.0656,0.0,29,6.608088226257314,15,16.5956,0.0,29,8.274113416588088,5
DE,11,13.7166,0.0,28,5.208695666105726,10,13.2666,0.0032,25,5.463029688613781,1
ES,12,15.1538,0.0,29,4.868807514918012,12,14.0516,0.0018,28,5.495141195215208,0
IT,13,15.237,0.0,29,5.0716836844463415,11,13.771,0.0016,26,5.581109993339271,2
LT,14,15.8462,0.0,29,4.928996303600849,13,14.5676,0.0,29,5.787411257705203,1
CY,15,16.2582,0.0,29,6.396727005529997,22,18.595,0.0042,29,6.5362312890451,7
GR,16,16.4028,0.0,29,6.127092329325715,17,17.4674,0.002,29,6.522809720460207,1
NL,17,16.4698,0.0018,29,5.830153179567359,14,16.343,0.0022,29,6.75393767626165,3
FR,18,16.9464,0.0,28,4.218943817756699,9,13.1982,0.0,26,4.142311976384918,9
RO,19,17.874,0.0,29,4.547159479484569,16,17.0168,0.0,29,6.342472952455576,3
HR,20,18.232,0.0,29,6.177524452535321,21,18.3286,0.0,29,7.966662763235121,1
BE,21,19.2344,0.0,29,4.920274226066265,18,17.9638,0.0002,28,5.979903126998068,3
LU,22,19.7076,0.0,29,7.008189865081958,27,22.8154,0.0,29,7.172866431390485,5
SI,23,21.2146,0.0,29,4.477740152283791,20,18.3136,0.0,29,5.025167211257747,3
IE,24,22.5274,0.0,29,6.949511377188645,29,24.6392,0.0,29,5.2553351053395225,5
BG,25,23.2704,0.0,29,3.4983612658371093,23,20.5906,0.0,29,4.301894105923532,2
CZ,26,23.5664,0.0,29,3.873317900497196,24,20.6342,0.0,29,5.267099659942384,2
SK,27,23.7848,0.0,29,3.822853881900307,25,20.7082,0.0,29,5.5241973273247975,2
HU,28,24.7664,0.0,29,4.051211362382878,28,23.6826,0.0,29,4.291473009132933,0
PL,29,25.6222,0.0,29,2.568187352444369,26,22.3346,0.0,29,4.173263239386308,3
