scenario,method,rule,Country,current_rank,alternative_rank,abs_shift
S0_Balanced,TOPSIS,R4_WWR_ER_RV,SE,1,2,1
S0_Balanced,TOPSIS,R4_WWR_ER_RV,NO,2,1,1
S0_Balanced,TOPSIS,R4_WWR_ER_RV,DK,5,6,1
S0_Balanced,TOPSIS,R4_WWR_ER_RV,FI,6,10,4
S0_Balanced,TOPSIS,R4_WWR_ER_RV,EE,8,9,1
S0_Balanced,TOPSIS,R4_WWR_ER_RV,MT,9,5,4
S0_Balanced,TOPSIS,R4_WWR_ER_RV,LV,10,11,1
S0_Balanced,TOPSIS,R4_WWR_ER_RV,DE,11,12,1
S0_Balanced,TOPSIS,R4_WWR_ER_RV,ES,12,13,1
S0_Balanced,TOPSIS,R4_WWR_ER_RV,IT,13,14,1
S0_Balanced,TOPSIS,R4_WWR_ER_RV,LT,14,15,1
S0_Balanced,TOPSIS,R4_WWR_ER_RV,CY,15,16,1
S0_Balanced,TOPSIS,R4_WWR_ER_RV,GR,16,17,1
S0_Balanced,TOPSIS,R4_WWR_ER_RV,NL,17,8,9
S0_Balanced,VIKOR,R4_WWR_ER_RV,DK,3,4,1
S0_Balanced,VIKOR,R4_WWR_ER_RV,FI,4,13,9
S0_Balanced,VIKOR,R4_WWR_ER_RV,PT,5,7,2
S0_Balanced,VIKOR,R4_WWR_ER_RV,AT,6,5,1
S0_Balanced,VIKOR,R4_WWR_ER_RV,EE,7,8,1
S0_Balanced,VIKOR,R4_WWR_ER_RV,IS,8,3,5
S0_Balanced,VIKOR,R4_WWR_ER_RV,FR,9,17,8
S0_Balanced,VIKOR,R4_WWR_ER_RV,IT,11,15,4
S0_Balanced,VIKOR,R4_WWR_ER_RV,ES,12,14,2
S0_Balanced,VIKOR,R4_WWR_ER_RV,LT,13,18,5
S0_Balanced,VIKOR,R4_WWR_ER_RV,NL,14,11,3
S0_Balanced,VIKOR,R4_WWR_ER_RV,LV,15,19,4
S0_Balanced,VIKOR,R4_WWR_ER_RV,RO,16,20,4
S0_Balanced,VIKOR,R4_WWR_ER_RV,GR,17,12,5
S0_Balanced,VIKOR,R4_WWR_ER_RV,BE,18,16,2
S0_Balanced,VIKOR,R4_WWR_ER_RV,MT,19,6,13
S0_Balanced,VIKOR,R4_WWR_ER_RV,SI,20,21,1
S0_Balanced,VIKOR,R4_WWR_ER_RV,HR,21,22,1
S0_Balanced,VIKOR,R4_WWR_ER_RV,CY,22,9,13
S1_ElectricityPriority,TOPSIS,R4_WWR_ER_RV,SE,1,3,2
S1_ElectricityPriority,TOPSIS,R4_WWR_ER_RV,IS,3,1,2
S1_ElectricityPriority,TOPSIS,R4_WWR_ER_RV,FI,6,10,4
S1_ElectricityPriority,TOPSIS,R4_WWR_ER_RV,PT,7,8,1
S1_ElectricityPriority,TOPSIS,R4_WWR_ER_RV,EE,8,9,1
S1_ElectricityPriority,TOPSIS,R4_WWR_ER_RV,DE,9,13,4
S1_ElectricityPriority,TOPSIS,R4_WWR_ER_RV,ES,10,11,1
S1_ElectricityPriority,TOPSIS,R4_WWR_ER_RV,MT,11,6,5
S1_ElectricityPriority,TOPSIS,R4_WWR_ER_RV,LV,12,14,2
S1_ElectricityPriority,TOPSIS,R4_WWR_ER_RV,NL,13,7,6
