CountryCode,method,mean_deterministic_rank,mean_branching_world_rank,naive_rank,branching_rank,abs_rank_shift
NO,TOPSIS,1.2,1.8,1,2,1
SE,TOPSIS,2.2,1.2,2,1,1
IS,TOPSIS,2.8,3.2,3,3,0
AT,TOPSIS,4.2,5.0,4,4,0
DK,TOPSIS,5.4,5.0,5,5,0
FI,TOPSIS,6.0,5.8,6,6,0
MT,TOPSIS,7.6,9.2,7,9,2
EE,TOPSIS,8.0,8.2,8,8,0
PT,TOPSIS,8.2,6.8,9,7,2
LV,TOPSIS,10.8,11.0,10,10,0
DE,TOPSIS,12.6,11.8,11,11,0
ES,TOPSIS,14.0,13.2,12,12,0
IT,TOPSIS,14.2,14.0,13,13,0
LT,TOPSIS,15.2,14.6,14,14,0
CY,TOPSIS,16.4,16.2,15,15,0
NL,TOPSIS,16.4,16.4,16,18,2
GR,TOPSIS,16.6,16.4,17,17,0
FR,TOPSIS,17.6,16.2,18,16,2
RO,TOPSIS,18.2,17.8,19,19,0
HR,TOPSIS,18.8,18.4,20,20,0
LU,TOPSIS,19.2,21.2,21,22,1
BE,TOPSIS,20.0,20.6,22,21,1
IE,TOPSIS,22.6,24.4,23,24,1
SI,TOPSIS,23.6,23.0,24,23,1
BG,TOPSIS,25.2,25.0,25,25,0
HU,TOPSIS,26.0,27.6,26,28,2
CZ,TOPSIS,26.6,26.0,27,26,1
SK,TOPSIS,26.8,26.2,28,27,1
PL,TOPSIS,28.6,28.8,29,29,0
SE,VIKOR,1.0,1.0,1,1,0
NO,VIKOR,3.4,2.4,2,2,0
FI,VIKOR,4.0,4.4,3,4,1
PT,VIKOR,5.6,5.0,4,5,1
DK,VIKOR,5.8,3.0,5,3,2
AT,VIKOR,6.0,5.4,6,6,0
IT,VIKOR,7.8,11.4,7,11,4
EE,VIKOR,9.4,7.6,8,7,1
IS,VIKOR,9.4,8.4,9,8,1
DE,VIKOR,9.8,10.8,10,10,0
FR,VIKOR,9.8,10.0,11,9,2
ES,VIKOR,11.8,11.8,12,12,0
GR,VIKOR,14.8,17.6,13,17,4
LV,VIKOR,14.8,16.0,14,15,1
LT,VIKOR,15.6,12.2,15,13,2
MT,VIKOR,17.4,18.8,16,18,2
NL,VIKOR,18.2,15.4,17,14,3
SI,VIKOR,18.2,19.0,18,20,2
CY,VIKOR,18.4,19.8,19,22,3
RO,VIKOR,18.8,17.0,20,16,4
BE,VIKOR,19.2,19.0,21,19,2
HR,VIKOR,20.0,19.2,22,21,1
BG,VIKOR,22.0,23.2,23,23,0
CZ,VIKOR,23.2,23.6,24,25,1
PL,VIKOR,24.0,26.0,25,26,1
SK,VIKOR,24.8,23.2,26,24,2
HU,VIKOR,26.2,28.0,27,28,1
LU,VIKOR,26.6,26.8,28,27,1
IE,VIKOR,29.0,29.0,29,29,0
