Country,Method,Full robust rank,No-C15 robust rank,Rank change (No-C15 minus full),Absolute displacement,No-C15 ER,No-C15 WWR,No-C15 WCR,No-C15 RV
SE,TOPSIS,1,1,0,0,2.0962,0.3282,14,1.0850555561813535
NO,TOPSIS,2,2,0,0,2.3118,0.37,13,1.701464298773262
IS,TOPSIS,3,3,0,0,4.4456,0.1656,29,3.7895435925714795
AT,TOPSIS,4,4,0,0,5.6624,0.102,22,3.7097205069923835
DK,TOPSIS,5,5,0,0,5.7108,0.0224,19,2.5799153784572053
FI,TOPSIS,6,6,0,0,6.523,0.0008,24,2.964771660684847
PT,TOPSIS,7,7,0,0,7.577,0.0066,18,2.8119158949015386
EE,TOPSIS,8,8,0,0,8.9266,0.0016,27,4.134538963415362
MT,TOPSIS,9,13,4,4,15.1764,0.0008,29,7.6018736532515465
LV,TOPSIS,10,9,-1,1,12.8156,0.0,29,6.489375674130823
DE,TOPSIS,11,10,-1,1,13.8566,0.0,29,5.287989829793542
ES,TOPSIS,12,11,-1,1,14.8396,0.0006,29,4.9237660220607475
IT,TOPSIS,13,12,-1,1,14.9938,0.0,29,4.9360066410003975
LT,TOPSIS,14,15,1,1,15.4106,0.0,29,4.902000371277008
CY,TOPSIS,15,18,3,3,17.5062,0.0,29,6.012417280927898
GR,TOPSIS,16,14,-2,2,15.236,0.0,29,5.938880702624019
NL,TOPSIS,17,17,0,0,16.5,0.0014,29,5.996032021262061
FR,TOPSIS,18,16,-2,2,16.3226,0.0,28,4.155686374114419
RO,TOPSIS,19,19,0,0,17.937,0.0,29,4.7558628028991565
HR,TOPSIS,20,20,0,0,18.1122,0.0,29,6.302413121971596
BE,TOPSIS,21,21,0,0,19.5276,0.0,29,4.9573821962806335
LU,TOPSIS,22,22,0,0,19.9954,0.0,29,7.082159193353312
SI,TOPSIS,23,23,0,0,20.7028,0.0,29,4.487546340707843
IE,TOPSIS,24,25,1,1,22.6048,0.0,29,6.880713404872997
BG,TOPSIS,25,24,-1,1,22.598,0.0,29,3.606881755755198
CZ,TOPSIS,26,26,0,0,23.4302,0.0,29,3.833735509917214
SK,TOPSIS,27,27,0,0,23.998,0.0,29,3.8101438293061864
HU,TOPSIS,28,28,0,0,24.7448,0.0,29,4.174933886901632
PL,TOPSIS,29,29,0,0,25.4384,0.0,29,2.7099456525915744
SE,VIKOR,1,1,0,0,1.6814,0.6184,15,1.4858983949113376
NO,VIKOR,2,2,0,0,4.3482,0.1796,27,4.2617551267053955
DK,VIKOR,3,3,0,0,4.8448,0.0442,20,2.9683518928860146
FI,VIKOR,4,4,0,0,5.702,0.0016,26,4.050480959096084
PT,VIKOR,5,5,0,0,6.2896,0.021,19,2.595791178041844
AT,VIKOR,6,6,0,0,6.6196,0.0474,21,3.581353911581395
EE,VIKOR,7,7,0,0,9.398,0.0062,26,4.953584156951384
IS,VIKOR,8,8,0,0,11.8768,0.068,29,8.816962161651777
FR,VIKOR,9,9,0,0,12.7764,0.0,25,4.06880855288135
DE,VIKOR,10,10,0,0,13.6508,0.005,26,5.528983573858746
IT,VIKOR,11,11,0,0,13.8354,0.0016,26,5.520498785435953
ES,VIKOR,12,13,1,1,14.062,0.002,27,5.373765532659581
LT,VIKOR,13,12,-1,1,14.0092,0.0,29,5.68938620239468
NL,VIKOR,14,15,1,1,16.6802,0.0012,29,6.706021768530072
LV,VIKOR,15,14,-1,1,16.2416,0.0002,29,8.227783993275404
RO,VIKOR,16,17,1,1,17.404,0.0,29,6.454082738856108
GR,VIKOR,17,16,-1,1,16.8124,0.002,29,6.431827597191924
BE,VIKOR,18,20,2,2,18.4502,0.0,28,5.8691328115829835
MT,VIKOR,19,25,6,6,20.8478,0.0006,29,6.606711372536241
SI,VIKOR,20,18,-2,2,17.6622,0.0,29,4.943489775452128
HR,VIKOR,21,19,-2,2,18.2844,0.0,29,7.896854857473379
CY,VIKOR,22,21,-1,1,19.2102,0.001,29,5.77834024266487
BG,VIKOR,23,23,0,0,20.1738,0.0,29,4.39180982739462
CZ,VIKOR,24,22,-2,2,20.049,0.0,29,5.170744530529469
SK,VIKOR,25,24,-1,1,20.5096,0.0,29,5.4374173869586
PL,VIKOR,26,26,0,0,22.1274,0.0,29,4.270359380661092
LU,VIKOR,27,27,0,0,22.9146,0.0,29,7.135328082155657
HU,VIKOR,28,28,0,0,23.6994,0.0,29,4.178162232369649
IE,VIKOR,29,29,0,0,24.839,0.0,29,5.1218628447078265
