Method,Country,robust_rank,ER,WWR,WCR,RV
TOPSIS,SE,1,2.0962,0.3282,14,1.0850555561813535
TOPSIS,NO,2,2.3118,0.37,13,1.701464298773262
TOPSIS,IS,3,4.4456,0.1656,29,3.7895435925714795
TOPSIS,AT,4,5.6624,0.102,22,3.7097205069923835
TOPSIS,DK,5,5.7108,0.0224,19,2.5799153784572053
TOPSIS,FI,6,6.523,0.0008,24,2.964771660684847
TOPSIS,PT,7,7.577,0.0066,18,2.8119158949015386
TOPSIS,EE,8,8.9266,0.0016,27,4.134538963415362
TOPSIS,LV,9,12.8156,0.0,29,6.489375674130823
TOPSIS,DE,10,13.8566,0.0,29,5.287989829793542
VIKOR,SE,1,1.6814,0.6184,15,1.4858983949113376
VIKOR,NO,2,4.3482,0.1796,27,4.2617551267053955
VIKOR,DK,3,4.8448,0.0442,20,2.9683518928860146
VIKOR,FI,4,5.702,0.0016,26,4.050480959096084
VIKOR,PT,5,6.2896,0.021,19,2.595791178041844
VIKOR,AT,6,6.6196,0.0474,21,3.581353911581395
VIKOR,EE,7,9.398,0.0062,26,4.953584156951384
VIKOR,IS,8,11.8768,0.068,29,8.816962161651777
VIKOR,FR,9,12.7764,0.0,25,4.06880855288135
VIKOR,DE,10,13.6508,0.005,26,5.528983573858746
