v,Country,rank,ER,WWR,WCR,RV
0.3,SE,1,2.4084,0.5204,22,3.091524048780535
0.3,DK,2,5.501,0.0656,25,3.846161409966814
0.3,NO,3,6.069,0.1792,28,6.321568748838383
0.3,FI,4,6.4018,0.0038,27,4.731937764489393
0.3,AT,5,7.3598,0.0562,23,4.514024727872974
0.3,PT,6,7.4718,0.0208,22,3.4681998849674773
0.3,EE,7,12.1092,0.0086,26,6.159680486254022
0.3,FR,8,12.491,0.0002,23,4.643514988270059
0.3,DE,9,13.0534,0.0112,26,6.025131441037321
0.3,IT,10,13.6786,0.0078,26,6.221048330343139
0.5,SE,1,1.747,0.6,17,1.5865353506568418
0.5,NO,2,4.4966,0.1688,27,4.446835201428301
0.5,DK,3,4.852,0.0518,22,2.9279020683937476
0.5,FI,4,5.7386,0.0018,26,4.18174215291747
0.5,PT,5,6.5654,0.0166,20,2.6719937780896976
0.5,AT,6,6.6184,0.0434,21,3.6509515649301227
0.5,EE,7,10.17,0.0042,26,5.070605704296233
0.5,IS,8,11.8184,0.0668,29,8.78048067067868
0.5,FR,9,13.1982,0.0,26,4.142311976384918
0.5,DE,10,13.2666,0.0032,25,5.463029688613781
0.7,SE,1,1.339,0.731,15,0.7374196617608594
0.7,NO,2,3.3316,0.1532,25,2.693453615430535
0.7,DK,3,4.5676,0.0202,20,2.1999086707479094
0.7,FI,4,5.1904,0.0002,26,3.0934223268636307
0.7,AT,5,6.1582,0.019,20,2.892204302801929
0.7,PT,6,6.2366,0.0082,19,2.1584142768333447
0.7,EE,7,8.6394,0.0008,25,3.8567787839748306
0.7,IS,8,9.5762,0.0472,29,7.148567266438252
0.7,DE,9,13.319,0.0002,25,4.804482866149319
0.7,ES,10,13.7794,0.0012,28,4.929543155216693
